,Pick,Team,Name,College,Seasons,Games,Minutes Played,Points,Total Rebounds,Assists,FG%,3P%,FT%,MPG,PPG,TRPG,APG,Win Share,Win Share/48,Box +/-,VORP
17,18,MIL,Kevin Brooks\brookke01,University of Louisiana at Lafayette,3,126,1031,417,141,48,.401,.200,.859,8.2,3.3,1.1,0.4,-0.1,-.004,-7.9,-1.5
18,19,WSB,LaBradford Smith\smithla02,University of Louisville,3,183,3131,1218,271,394,.432,.298,.813,17.1,6.7,1.5,2.2,1.5,.024,-4.1,-1.6
19,20,HOU,John Turner\turnejo01,Phillips University,1,42,345,117,78,12,.439,,.525,8.2,2.8,1.9,0.3,-0.1,-.021,-7.4,-0.5
20,21,UTA,Eric Murdock\murdoer01,Providence College,9,508,11882,5118,1261,2467,.438,.343,.786,23.4,10.1,2.5,4.9,25.6,.103,1.1,9.4
21,22,LAC,LeRon Ellis\ellisle02,Syracuse University,3,91,857,277,220,29,.433,,.613,9.4,3.0,2.4,0.3,1.2,.069,-3.2,-0.3
22,23,ORL,Stanley Roberts\roberst01,Louisiana State University,8,300,5869,2555,1549,189,.499,.000,.514,19.6,8.5,5.2,0.6,8.1,.066,-3.3,-1.9
23,24,BOS,Rick Fox\foxri01,University of North Carolina,13,930,23723,8966,3517,2649,.450,.349,.770,25.5,9.6,3.8,2.8,44.7,.090,1.0,17.6
24,25,GSW,Shaun Vandiver,University of Colorado,,,,,,,,,,,,,,,,,
25,26,CHI,Mark Randall\randama01,University of Kansas,4,127,883,332,160,56,.443,.154,.722,7.0,2.6,1.3,0.4,1.0,.054,-3.6,-0.4
26,27,SAC,Pete Chilcutt\chilcpe01,University of North Carolina,9,584,8394,2494,1935,488,.441,.381,.696,14.4,4.3,3.3,0.8,10.6,.060,-1.9,0.3
27,28,CHH,Kevin Lynch\lynchke01,University of Minnesota,2,95,1143,310,120,108,.436,.333,.726,12.0,3.3,1.3,1.1,0.4,.016,-4.0,-0.6
28,29,MIA,George Ackles,University of Nevada Las Vegas,,,,,,,,,,,,,,,,,
29,30,ATL,Rodney Monroe\monroro01,North Carolina State University,1,38,313,131,33,27,.368,.222,.826,8.2,3.4,0.9,0.7,-0.2,-.035,-6.9,-0.4
30,31,SAC,Randy Brown\brownra02,New Mexico State University,12,655,11533,3148,1173,1420,.417,.200,.691,17.6,4.8,1.8,2.2,11.0,.046,-2.2,-0.5
31,32,PHO,Chad Gallagher\gallach01,Creighton University,1,2,3,6,0,0,1.000,,,1.5,3.0,0.0,0.0,0.1,1.442,16.3,0.0
32,33,DAL,Donald Hodge\hodgedo01,Temple University,5,249,3501,1182,809,191,.437,.286,.711,14.1,4.7,3.2,0.8,1.8,.025,-4.0,-1.8
33,34,MIN,Myron Brown\brownmy01,Slippery Rock University of Pennsylvania,1,4,23,9,3,6,.667,.333,,5.8,2.3,0.8,1.5,0.0,.032,-5.0,0.0
34,35,DAL,Mike Iuzzolino\iuzzomi01,Saint Francis University,2,122,3049,1096,238,522,.457,.404,.798,25.0,9.0,2.0,4.3,3.7,.058,-2.8,-0.6
35,36,ORL,Chris Corchiani\corchch01,North Carolina State University,3,112,1313,416,129,243,.421,.269,.816,11.7,3.7,1.2,2.2,1.6,.058,-2.6,-0.2
36,37,LAC,Elliot Perry\perryel01,University of Memphis,10,549,9501,3449,742,1699,.459,.359,.783,17.3,6.3,1.4,3.1,14.0,.071,-2.2,-0.4
37,38,LAC,Joe Wylie,University of Miami,,,,,,,,,,,,,,,,,
38,39,CLE,Jimmy Oliver\oliveji01,Purdue University,5,78,856,331,80,55,.407,.340,.772,11.0,4.2,1.0,0.7,0.3,.018,-5.6,-0.8
39,40,DET,Doug Overton\overtdo01,La Salle University,11,499,7275,2253,654,1038,.412,.319,.816,14.6,4.5,1.3,2.1,2.5,.016,-5.4,-6.2
40,41,IND,Sean Green\greense01,Iona College,3,84,671,352,85,45,.386,.246,.620,8.0,4.2,1.0,0.5,-1.3,-.095,-8.3,-1.1
41,42,SAC,Steve Hood,James Madison University,,,,,,,,,,,,,,,,,
42,43,GSW,Lamont Strothers\strotla01,Christopher Newport University,2,13,155,60,15,14,.329,.133,.714,11.9,4.6,1.2,1.1,-0.5,-.142,-8.1,-0.2
43,44,PHI,Alvaro Teheran,University of Houston,,,,,,,,,,,,,,,,,
44,45,MIL,Bobby Phills\phillbo01,Southern University and A&M College,9,467,13426,5153,1469,1246,.443,.390,.738,28.7,11.0,3.1,2.7,27.2,.097,0.5,8.6
45,46,PHO,Richard Dumas\dumasri02,Oklahoma State University,3,102,2226,1080,351,111,.509,.231,.694,21.8,10.6,3.4,1.1,4.5,.097,-0.3,1.0
46,47,HOU,Keith Hughes,Rutgers University,,,,,,,,,,,,,,,,,
47,48,UTA,Isaac Austin\austiis01,Arizona State University,9,432,8350,3285,2030,538,.446,.176,.670,19.3,7.6,4.7,1.2,9.2,.053,-2.5,-1.0
48,49,SAS,Greg Sutton\suttogr01,Oral Roberts University,3,168,1946,761,153,284,.396,.361,.743,11.6,4.5,0.9,1.7,1.0,.024,-4.0,-1.0
49,50,PHO,Joey Wright,University of Texas at Austin,,,,,,,,,,,,,,,,,
50,51,HOU,Zan Tabak\tabakza01,,6,247,3607,1233,883,165,.506,.000,.525,14.6,5.0,3.6,0.7,2.4,.032,-4.4,-2.2
51,52,LAL,Anthony Jones,Oral Roberts University,,,,,,,,,,,,,,,,,
52,53,NJN,Von McDade,University of Wisconsin-Milwaukee,,,,,,,,,,,,,,,,,
53,54,POR,Marcus Kennedy,Eastern Michigan University,,,,,,,,,,,,,,,,,
54,1,ORL,Shaquille O'Neal\onealsh01,Louisiana State University,19,1207,41918,28596,13099,3026,.582,.045,.527,34.7,23.7,10.9,2.5,181.7,.208,5.0,74.0
55,2,CHH,Alonzo Mourning\mournal01,Georgetown University,15,838,25975,14311,7137,946,.527,.247,.692,31.0,17.1,8.5,1.1,89.7,.166,1.7,24.0
